,model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day
0,Citroën,140411.0,100.0,diesel,black,convertible,True,True,False,False,True,True,True,106.0
1,Citroën,13929.0,317.0,petrol,grey,convertible,True,True,False,False,False,True,True,264.0
2,Citroën,183297.0,120.0,diesel,white,convertible,False,False,False,False,True,False,True,101.0
3,Citroën,128035.0,135.0,diesel,red,convertible,True,True,False,False,True,True,True,158.0
4,Citroën,97097.0,160.0,diesel,silver,convertible,True,True,False,False,False,True,True,183.0
5,Citroën,152352.0,225.0,petrol,black,convertible,True,True,False,False,True,True,True,131.0
6,Citroën,205219.0,145.0,diesel,grey,convertible,True,True,False,False,True,True,True,111.0
7,Citroën,115560.0,105.0,petrol,white,convertible,True,True,False,False,False,True,True,78.0
8,Peugeot,123886.0,125.0,petrol,black,convertible,True,False,False,False,False,True,True,79.0
9,Citroën,139541.0,135.0,diesel,white,convertible,False,False,False,False,True,False,True,132.0
10,Citroën,77115.0,135.0,diesel,blue,convertible,True,True,False,False,True,False,True,139.0
11,Citroën,228000.0,145.0,diesel,black,convertible,True,True,False,False,True,False,True,115.0
12,Citroën,132025.0,135.0,diesel,blue,convertible,True,True,False,False,True,True,True,147.0
13,Citroën,77061.0,135.0,diesel,black,convertible,True,True,False,False,True,True,True,191.0
14,Peugeot,174631.0,120.0,diesel,black,convertible,True,True,False,False,False,False,True,102.0
15,Peugeot,208945.0,130.0,diesel,grey,convertible,True,True,False,False,True,False,True,91.0
16,Peugeot,21167.0,135.0,petrol,white,convertible,False,False,True,False,False,False,False,148.0
17,Peugeot,24521.0,270.0,petrol,grey,convertible,True,False,False,False,False,False,True,96.0
18,Citroën,205474.0,145.0,diesel,grey,convertible,True,True,False,False,True,True,True,105.0
19,Peugeot,128940.0,110.0,petrol,black,convertible,True,False,False,False,False,False,True,88.0
20,Peugeot,126213.0,225.0,petrol,white,convertible,False,False,False,False,False,True,True,130.0
21,Peugeot,24868.0,100.0,petrol,grey,convertible,False,True,False,False,False,False,True,176.0
22,Citroën,90401.0,135.0,diesel,grey,convertible,True,True,False,False,True,True,True,162.0
23,Peugeot,46963.0,140.0,diesel,orange,convertible,False,True,False,False,False,True,True,153.0
24,Peugeot,43662.0,180.0,petrol,orange,convertible,True,False,False,False,True,False,True,144.0
25,Peugeot,196092.0,85.0,petrol,blue,convertible,True,False,False,False,False,False,False,42.0
26,Peugeot,113678.0,190.0,diesel,black,convertible,True,True,False,False,True,True,True,173.0
27,Citroën,65988.0,135.0,diesel,grey,convertible,True,True,False,False,True,True,True,169.0
28,Peugeot,123809.0,125.0,petrol,black,convertible,True,False,False,False,False,True,True,81.0
29,Citroën,181252.0,120.0,diesel,black,convertible,True,True,False,False,True,False,True,105.0
30,Citroën,195114.0,105.0,diesel,red,convertible,True,True,False,False,False,True,True,99.0
31,Peugeot,82761.0,110.0,petrol,grey,convertible,True,False,False,False,False,True,True,97.0
32,Peugeot,25050.0,100.0,petrol,grey,convertible,False,True,False,False,False,False,True,176.0
33,Citroën,64832.0,135.0,diesel,grey,convertible,True,True,False,False,True,True,True,166.0
34,Peugeot,240788.0,120.0,diesel,grey,convertible,True,False,False,False,False,False,True,74.0
35,Peugeot,124516.0,125.0,petrol,black,convertible,True,False,False,False,False,True,True,79.0
36,Peugeot,187294.0,105.0,petrol,red,convertible,True,False,False,False,False,True,True,49.0
37,Peugeot,24452.0,270.0,petrol,grey,convertible,True,False,False,False,False,False,True,82.0
38,Peugeot,17267.0,110.0,diesel,white,convertible,True,True,False,False,True,False,True,156.0
39,Citroën,194192.0,120.0,diesel,beige,convertible,True,True,False,False,True,False,True,109.0
40,Citroën,36696.0,120.0,diesel,black,convertible,True,True,False,False,True,False,True,185.0
41,Peugeot,270907.0,236.0,petrol,black,convertible,True,False,False,False,False,True,True,110.0
42,PGO,142483.0,180.0,diesel,blue,convertible,True,True,False,False,True,False,True,126.0
43,Peugeot,223269.0,120.0,diesel,blue,convertible,True,True,False,False,False,False,True,89.0
44,Peugeot,158805.0,130.0,diesel,black,convertible,True,False,False,False,True,True,True,95.0
45,Peugeot,13131.0,110.0,diesel,grey,convertible,False,True,False,False,True,False,True,156.0
46,Peugeot,187104.0,105.0,petrol,red,convertible,True,False,False,False,False,True,True,51.0
47,Citroën,20996.0,135.0,petrol,black,coupe,True,False,False,False,True,False,True,146.0
48,Citroën,50222.0,135.0,diesel,grey,coupe,False,False,False,False,False,False,False,162.0
49,Citroën,147180.0,100.0,diesel,black,coupe,True,False,True,False,False,False,True,92.0
50,Peugeot,51618.0,105.0,diesel,grey,coupe,False,True,False,False,True,False,True,131.0
51,Citroën,104433.0,120.0,diesel,silver,coupe,True,False,False,False,True,False,True,87.0
52,Citroën,77334.0,135.0,diesel,grey,coupe,False,False,False,False,True,False,True,154.0
53,Citroën,55329.0,135.0,diesel,black,coupe,False,False,False,False,False,False,False,163.0
54,Citroën,14041.0,140.0,diesel,blue,coupe,True,True,False,False,True,True,True,166.0
55,Renault,78638.0,160.0,diesel,black,coupe,False,True,False,False,False,True,True,135.0
56,Citroën,329173.0,110.0,diesel,silver,coupe,True,False,False,False,False,False,True,48.0
57,Renault,34082.0,240.0,petrol,grey,coupe,False,True,True,False,True,True,True,174.0
58,Renault,265751.0,85.0,petrol,silver,coupe,False,False,False,False,False,False,False,32.0
59,Citroën,181644.0,135.0,diesel,blue,coupe,True,True,False,False,True,False,True,138.0
60,Renault,26062.0,225.0,petrol,blue,coupe,True,True,False,True,True,True,True,175.0
61,Citroën,56250.0,160.0,diesel,blue,coupe,False,False,False,False,False,False,False,169.0
62,Renault,45536.0,250.0,petrol,white,coupe,True,True,True,False,True,True,True,197.0
63,Renault,69695.0,230.0,diesel,blue,coupe,True,True,False,False,True,True,True,191.0
64,Citroën,61300.0,135.0,diesel,black,coupe,True,True,False,False,True,False,True,166.0
65,Renault,197407.0,230.0,diesel,blue,coupe,True,True,True,False,True,True,True,179.0
66,Citroën,93066.0,135.0,diesel,black,coupe,False,False,False,True,True,False,True,109.0
67,Peugeot,29925.0,309.0,petrol,silver,coupe,True,True,False,False,True,True,True,217.0
68,Renault,67403.0,230.0,diesel,black,coupe,True,True,True,True,True,True,True,235.0
69,Citroën,199614.0,120.0,diesel,black,coupe,True,True,True,False,True,True,True,127.0
70,Peugeot,27786.0,140.0,diesel,white,coupe,False,True,False,False,False,True,True,162.0
71,Citroën,80165.0,135.0,diesel,white,coupe,False,False,False,False,False,False,False,140.0
72,Citroën,69410.0,317.0,petrol,white,coupe,True,True,False,False,False,True,True,232.0
73,Peugeot,170550.0,309.0,petrol,grey,coupe,True,True,False,False,True,False,True,167.0
74,Citroën,42077.0,135.0,diesel,black,coupe,False,False,False,False,True,True,True,150.0
75,Renault,92527.0,230.0,diesel,blue,coupe,True,True,True,False,False,False,True,179.0
76,Peugeot,23949.0,100.0,diesel,blue,coupe,False,True,False,False,True,False,True,162.0
77,Citroën,175311.0,130.0,diesel,black,coupe,True,False,False,True,True,False,True,93.0
78,Renault,97806.0,230.0,diesel,black,coupe,True,True,False,True,True,True,True,177.0
79,Renault,141346.0,230.0,diesel,blue,coupe,True,True,True,False,True,True,True,200.0
80,Peugeot,220101.0,130.0,diesel,black,coupe,False,False,False,False,True,False,True,94.0
81,Citroën,64386.0,135.0,diesel,grey,coupe,False,False,False,False,True,True,True,154.0
82,Citroën,54993.0,135.0,diesel,black,coupe,False,False,False,False,False,False,False,136.0
83,Citroën,152383.0,135.0,diesel,black,coupe,True,False,False,False,True,True,True,130.0
84,Renault,69736.0,240.0,petrol,grey,coupe,True,True,True,False,True,True,True,173.0
85,Citroën,202812.0,130.0,diesel,silver,coupe,False,False,False,False,True,False,True,91.0
86,Renault,69768.0,230.0,diesel,black,coupe,True,True,True,False,True,False,True,192.0
